gene_name	moduleColor
C1QTNF7	pink
C1QTNF9	pink
C1orf216	blue
C1orf35	blue
C20orf204	blue
C20orf96	blue
C2CD4B	pink
C2CD4C	blue
C3orf80	magenta
C4orf36	blue
C5orf38	blue
C6orf47	blue
C7	pink
C7orf50	blue
C8orf76	floralwhite
C8orf88	pink
CA14	blue
CABP1	pink
CACHD1	pink
CACNA1C	pink
CACNA1G	pink
CACNA2D1	pink
CACTIN	blue
CADM1	blue
CADM4	blue
CALCRL	pink
CALHM5	magenta
CALM3	blue
CALU	blue
CAMK1D	blue
CAMK2A	magenta
CAMK2B	blue
CAMSAP3	blue
CAP1	blue
CAPN1	blue
CAPN11	pink
CAPN15	blue
CAPN5	pink
CAPZA1	blue
CARD14	blue
CARD19	blue
CARHSP1	blue
CARS1	pink
CASK	blue
CASP9	blue
CASQ2	pink
CAV1	pink
CAVIN1	magenta
CAVIN2	pink
CBARP	blue
CBLC	blue
CBLN3	blue
CBLN4	pink
CBX4	blue
CC2D1A	blue
CCDC102B	pink
CCDC106	blue
CCDC107	blue
CCDC115	blue
CCDC12	blue
CCDC120	blue
CCDC124	blue
CCDC152	pink
CCDC154	blue
CCDC159	blue
CCDC178	pink
CCDC183	blue
CCDC189	blue
CCDC22	blue
CCDC24	blue
CCDC3	pink
CCDC51	blue
CCDC61	blue
CCDC71	blue
CCDC78	blue
CCDC8	magenta
CCDC80	magenta
CCDC85B	blue
CCDC9	blue
CCDC97	blue
CCHCR1	blue
CCIN	magenta
CCKAR	pink
CCL14	pink
CCL28	pink
CCM2L	pink
CCN1	magenta
CCN2	magenta
CCN3	pink
CCN4	magenta
CCN5	magenta
CCNP	blue
CCNYL1	blue
CCS	blue
CD151	blue
CD200	pink
CD248	magenta
CD276	magenta
CD2BP2	blue
CD34	pink
CD55	magenta
CD93	pink
CD99	magenta
CDA	pink
CDC34	blue
CDC37	blue
CDC42BPG	blue
CDH11	magenta
CDH13	magenta
CDH23	pink
CDH5	pink
CDH6	pink
CDIPT	blue
CDK11B	blue
CDK15	magenta
CDK20	blue
CDK2AP2	blue
CDK5RAP1	blue
CDKN1C	pink
CDKN2AIPNL	blue
CEBPD	blue
CEMIP	magenta
CENPB	blue
CEP112	pink
CEP170	blue
CEP170B	blue
CERCAM	magenta
CERS5	blue
CFAP410	blue
CFH	magenta
CHCHD4	pink
CHCHD5	blue
CHCHD6	blue
CHCHD7	floralwhite
CHERP	blue
CHID1	blue
CHL1	pink
CHMP2A	blue
CHMP4B	blue
CHMP4C	floralwhite
CHN1	blue
CHPF	magenta
CHRNA1	magenta
CHRNE	pink
CHSY3	magenta
CHTF18	blue
CIAO3	blue
CIB1	blue
CILP	magenta
CILP2	magenta
CINP	blue
CIRBP	blue
CISD1	floralwhite
CKMT2	pink
CLBA1	blue
CLDN11	pink
CLDN19	pink
CLDN3	blue
CLDN4	blue
CLDN5	pink
CLDN7	pink
CLEC11A	magenta
CLEC14A	pink
CLEC1A	pink
CLEC3B	pink
CLIC4	blue
CLIP3	magenta
CLPP	blue
CLPSL2	blue
CLPTM1	pink
CLPTM1L	pink
CLTB	blue
CMA1	pink
CMAS	magenta
CMTM3	magenta
CNIH3	magenta
CNKSR1	blue
CNN1	magenta
CNN2	magenta
CNOT3	blue
CNP	blue
CNPY4	blue
CNRIP1	magenta
CNTN1	magenta
CNTNAP1	magenta
CNTNAP3B	pink
COA3	blue
COA5	blue
COASY	blue
COL10A1	magenta
COL11A1	magenta
COL12A1	magenta
COL14A1	pink
COL15A1	magenta
COL16A1	magenta
COL17A1	pink
COL18A1	magenta
COL1A1	magenta
COL1A2	magenta
COL21A1	pink
COL24A1	magenta
COL3A1	magenta
COL4A1	magenta
COL4A2	pink
COL4A5	floralwhite
COL5A1	magenta
COL5A2	magenta
COL5A3	magenta
COL6A1	magenta
COL6A2	magenta
COL6A3	magenta
COL7A1	magenta
COL8A1	magenta
COL8A2	magenta
COL9A2	blue
COLEC12	magenta
COMP	magenta
COPE	blue
COPG1	pink
COPS5	floralwhite
COPS7A	blue
COPS9	blue
COPZ2	magenta
COQ10A	blue
COQ8B	blue
CORIN	magenta
CORO1B	blue
CORO1C	blue
CORO2B	pink
COX14	blue
COX4I2	pink
COX7A1	pink
COX7C	blue
CPA3	pink
CPED1	pink
CPLX1	blue
CPTP	blue
CPXM1	magenta
CRACR2B	blue
CRB3	blue
CREB3	blue
CREB3L2	blue
CRHBP	pink
CRHR2	pink
CRIP1	blue
CRIP2	blue
CRISPLD2	magenta
CRTAP	magenta
CRTC1	blue
CRYGN	magenta
CSDC2	magenta
CSMD2	blue
CSNK1G2	blue
CSRNP1	pink
CSRNP3	pink
CSRP1	pink
CTBP1	blue
CTDP1	blue
CTDSP1	blue
CTHRC1	magenta
CTIF	magenta
CTNNBIP1	blue
CTNNBL1	blue
CTSF	blue
CTSG	pink
CTSK	magenta
CTTNBP2NL	blue
CTU1	blue
CTXN1	blue
CUEDC2	blue
CXCL12	magenta
CXCL14	magenta
CYB561D2	blue
CYGB	pink
CYP26A1	magenta
CYP26C1	magenta
CYP2U1	pink
CYS1	magenta
CYSRT1	blue
CYTH2	blue
CYTH3	magenta
CYTL1	pink
CYYR1	pink
D2HGDH	blue
DAB2	magenta
DAB2IP	pink
DACT1	magenta
DACT3	magenta
DAD1	blue
DAGLB	blue
DAPK3	blue
DAZAP1	blue
DBNL	blue
DBP	blue
DBX2	pink
DCAF13	floralwhite
DCAF15	blue
DCHS1	pink
DCN	magenta
DCTN2	blue
DCTPP1	blue
DCUN1D3	pink
DDA1	blue
DDAH2	blue
DDB2	blue
DDOST	blue
DDR2	magenta
DDRGK1	blue
DDX41	blue
DDX49	blue
DDX51	blue
DDX54	blue
DEAF1	blue
DECR1	floralwhite
DECR2	blue
DEDD2	blue
DENND2A	pink
DENND6B	blue
DERL1	floralwhite
DES	pink
DGKI	magenta
DGKQ	blue
DHDH	pink
DHH	pink
DHRS1	blue
DHRS4	blue
DHRS4L2	blue
DHRS7B	blue
DHX30	blue
DHX34	blue
DHX37	blue
DIAPH2	blue
DIO2	magenta
DIPK1B	blue
DIPK2B	pink
DIRAS3	pink
DIXDC1	pink
DKK2	pink
DKK3	magenta
DLC1	pink
DLG2	pink
DLG4	blue
DLK2	pink
DLL1	pink
DLL4	pink
DMAC2	blue
DMGDH	pink
DMKN	blue
DMPK	blue
DMWD	blue
DNAJB12	blue
DNAJB2	blue
DNAJB5	magenta
DNAJC17	blue
DNAJC19	blue
DNAJC6	blue
DNAJC8	blue
DNASE1	blue
DNASE1L2	blue
DNASE2	blue
DNM1	magenta
DNM3	pink
DNPEP	blue
DNTTIP1	blue
DOC2B	pink
DOCK6	pink
DOCK7	blue
DOHH	blue
DOK1	blue
DOK4	pink
DOK6	pink
DOK7	blue
DOT1L	blue
DPCD	blue
DPP3	blue
DPP7	blue
DPP9	blue
DPT	magenta
DPYSL3	magenta
DRAP1	blue
DRD4	magenta
DSEL	pink
DTX3	blue
DUS3L	blue
DUSP1	pink
DUSP15	blue
DUSP6	pink
DUSP8	blue
DVL1	blue
DYRK1B	blue
DYRK2	blue
DZIP1L	magenta
E2F5	floralwhite
E4F1	blue
EBAG9	floralwhite
EBF1	pink
EBF2	pink
EBF3	pink
EBF4	blue
ECHS1	blue
ECI1	blue
ECM2	magenta
ECRG4	pink
ECSCR	pink
ECSIT	blue
EDA2R	pink
EDF1	blue
EDIL3	magenta
EDN3	pink
EDNRA	magenta
EDNRB	pink
EEF2KMT	blue
EEPD1	pink
EFEMP1	pink
EFEMP2	magenta
EFNB2	pink
EFNB3	pink
EGFL7	pink
EGFLAM	pink
EGLN1	blue
EGR1	pink
EGR2	pink
EGR3	pink
EHBP1	blue
EHD2	magenta
EHD3	pink
EHMT2	blue
EID2B	blue
EIF2B2	blue
EIF3E	floralwhite
EIF3G	blue
EIF3H	floralwhite
EIF3K	blue
EIF4EBP3	blue
ELANE	blue
ELFN1	magenta
ELK3	pink
ELL	blue
ELMO3	blue
ELN	magenta
ELOB	blue
ELOC	floralwhite
ELOF1	blue
ELP6	blue
EMC10	blue
EMC2	floralwhite
EMC6	blue
EMC7	blue
EMCN	pink
EME2	blue
EMG1	pink
EMID1	blue
EMILIN1	magenta
EML2	blue
EML4	blue
EMX2	magenta
ENC1	magenta
ENDOG	blue
ENG	pink
ENKD1	blue
ENPEP	magenta
ENPP2	pink
ENTPD1	pink
ENTPD6	blue
ENTPD8	blue
ENY2	floralwhite
EPAS1	pink
EPDR1	magenta
EPHA1	blue
EPHA10	blue
EPHA3	pink
EPN1	blue
EPS8L1	blue
EPS8L2	blue
EPYC	magenta
ERCC1	blue
ERCC2	blue
ERF	blue
ERG	pink
ERG28	blue
ERGIC3	blue
ERH	blue
ERICH4	pink
ERMN	magenta
ERO1A	blue
ERP29	blue
ESAM	pink
ESPN	blue
ESRP1	floralwhite
ESRRA	blue
ETS2	pink
ETV1	magenta
EVC	magenta
EVI5L	blue
EXOC3	blue
EXOC3L1	blue
EXOC3L2	pink
EXOSC1	blue
EXT2	blue
F10	pink
F13A1	magenta
F2R	pink
F2RL1	magenta
F2RL2	pink
F2RL3	pink
F3	pink
FAAH	blue
FAAP20	blue
FADD	blue
FAHD1	blue
FAHD2B	blue
FAM110D	pink
FAM124B	pink
FAM131A	blue
FAM13C	pink
FAM160A2	blue
FAM162B	pink
FAM174C	blue
FAM180B	pink
FAM189A1	magenta
FAM189A2	pink
FAM234A	blue
FAM32A	blue
FAM3A	blue
FAM3C	blue
FAM43A	pink
FAM43B	pink
FAM50A	blue
FAM50B	blue
FAM53A	blue
FAM98C	blue
FAP	magenta
FARSA	blue
FASTK	blue
FAT2	pink
FAT3	magenta
FAT4	pink
FBLN1	magenta
FBLN2	magenta
FBLN5	pink
FBLN7	pink
FBN1	magenta
FBRS	blue
FBRSL1	blue
FBXL12	blue
FBXL15	blue
FBXL19	blue
FBXO2	blue
FBXO44	blue
FBXO46	blue
FBXW4	blue
FBXW9	blue
FCER1A	pink
FCGRT	blue
FERMT2	magenta
FEZ1	magenta
FGD5	pink
FGF1	magenta
FGF16	magenta
FGF18	magenta
FGF2	pink
FGF7	pink
FHL5	pink
FIBIN	magenta
FIGNL2	pink
FILIP1	pink
FILIP1L	magenta
FIS1	blue
FITM1	blue
FIZ1	blue
FKBP14	magenta
FKBP3	blue
FKBP7	magenta
FKBP8	blue
FKRP	blue
FLNC	magenta
FLOT1	blue
FLRT2	pink
FLT1	pink
FLT4	pink
FLYWCH1	blue
FLYWCH2	blue
FN1	magenta
FNDC1	magenta
FNDC10	blue
FNDC11	blue
FNDC3B	blue
FNTB	blue
FOS	pink
FOSB	pink
FOXD4	blue
FOXF2	magenta
FOXN2	blue
FOXO1	pink
FOXO4	pink
FOXS1	magenta
FRAT1	blue
FREM1	pink
FRG1	blue
FRMD5	blue
FRMD8	blue
FRZB	pink
FSCN2	blue
FST	magenta
FSTL1	magenta
FTH1	blue
FUS	blue
FUZ	blue
FZD4	pink
FZD5	blue
FZR1	blue
G6PC3	blue
GABRB2	magenta
GABRD	blue
GADD45B	pink
GADD45G	blue
GADD45GIP1	blue
GAK	blue
GALNT15	magenta
GAMT	blue
GAN	blue
GAP43	magenta
GAPDH	pink
GAS6	magenta
GAS7	magenta
GATA1	pink
GATAD2A	blue
GATB	blue
GATD1	blue
GCDH	blue
GCHFR	blue
GCSAML	pink
GDF10	pink
GDF3	pink
GDF6	magenta
GEM	pink
GET3	blue
GFAP	pink
GFER	blue
GGN	blue
GGT7	blue
GHDC	blue
GHR	pink
GIPC1	blue
GIPC2	pink
GIPC3	pink
GJA4	pink
GJA5	magenta
GJB2	magenta
GJC1	pink
GJC2	pink
GLI1	pink
GLI2	pink
GLIS1	magenta
GLIS2	magenta
GLIS3	magenta
GLRX5	blue
GLT8D2	magenta
GLTPD2	blue
GMPPA	blue
GMPPB	blue
GNA11	blue
GNAL	pink
GNB1L	blue
GNB2	blue
GNB4	blue
GNG11	pink
GNG12	magenta
GNG5	blue
GNG7	pink
GNL1	blue
GNMT	blue
GNPTG	blue
GON7	blue
GPANK1	blue
GPATCH3	blue
GPC1	blue
GPC6	magenta
GPIHBP1	pink
GPKOW	blue
GPLD1	blue
GPN2	blue
GPR1	magenta
GPR108	blue
GPR137	blue
GPR142	pink
GPR153	pink
GPR162	blue
GPR20	pink
GPR4	pink
GPR68	magenta
GPR85	pink
GPRASP1	pink
GPRASP2	pink
GPSM1	blue
GPX4	blue
GPX8	magenta
GRAMD1A	blue
GRB10	blue
GREM1	magenta
GREM2	pink
GRHPR	blue
GRIA4	pink
GRID1	magenta
GRID2IP	blue
GRIPAP1	blue
GRP	magenta
GRTP1	blue
GRWD1	blue
GSDMD	blue
GSK3A	pink
GSN	pink
GSS	blue
GSTM4	blue
GSTM5	pink
GSTZ1	blue
GTF2F1	blue
GTPBP3	blue
GTPBP6	blue
GUCY1B1	magenta
GUK1	blue
GULP1	pink
GUSB	blue
GXYLT2	magenta
H1-10	blue
H2AJ	blue
H6PD	pink
HAGH	blue
HAGHL	blue
HAND2	magenta
HAS1	pink
HBA2	pink
HBB	pink
HCFC1R1	blue
HDAC11	blue
HDAC5	blue
HDAC7	blue
HDGFL2	blue
HECTD3	blue
HECW2	pink
HEG1	pink
HES4	blue
HES6	blue
HEY1	pink
HEYL	magenta
HGF	pink
HHIPL1	magenta
HIC1	magenta
HIF1A	blue
HIGD1B	pink
HILPDA	floralwhite
HIP1R	blue
HIPK4	blue
HIRIP3	blue
HIVEP2	blue
HLF	pink
HMCN1	magenta
HMCN2	pink
HMG20B	blue
HMGCL	blue
HMGN2	blue
HMOX2	blue
HNRNPA0	blue
HNRNPA1L2	blue
HNRNPM	blue
HOMER1	blue
HOPX	magenta
HOXA2	pink
HOXA3	pink
HOXA4	pink
HOXA5	pink
HOXA6	pink
HOXC8	magenta
HOXD10	pink
HOXD3	pink
HOXD8	magenta
HOXD9	pink
HPGDS	pink
HPN	blue
HPS6	blue
HPSE2	pink
HRAS	blue
HS1BP3	blue
HS6ST1	blue
HSD17B6	magenta
HSD17B8	blue
HSD3B7	blue
HSP90B1	pink
HSPA12B	pink
HSPA1A	blue
HSPBP1	blue
HSPG2	pink
HTR2B	pink
HTR7	pink
HTRA1	magenta
HTRA2	blue
HTRA3	magenta
HYAL1	pink
HYAL2	blue
ID1	pink
ID3	pink
IDH3B	blue
IDUA	blue
IER2	blue
IER3	blue
IER5L	blue
IFRD2	blue
IFT43	blue
IGDCC4	pink
IGF1	pink
IGF2	pink
IGFBP2	blue
IGFBP6	pink
IGFBP7	magenta
IGFL2	magenta
IGFL3	magenta
IGFN1	pink
IGHMBP2	blue
IGSF10	pink
IGSF8	blue
IHO1	pink
IK	blue
IL17B	pink
IL17D	pink
IL17RC	blue
IL17RD	pink
IL1R1	magenta
IL1RL1	pink
IL33	pink
ILF3	blue
ILVBL	blue
INAFM1	blue
INF2	blue
ING4	blue
INHBA	magenta
INKA1	pink
INKA2	pink
INMT	pink
INO80E	blue
INPP4A	blue
INPPL1	blue
INSYN2B	pink
INTS1	blue
INTS11	blue
INTS5	blue
IP6K2	blue
IQCA1	pink
IRAG1	magenta
IRF2BP1	blue
IRF3	blue
IRX3	blue
ISCA2	blue
ISLR	magenta
ISLR2	pink
ISM1	magenta
ISOC2	blue
ISYNA1	blue
ITGA1	pink
ITGA10	pink
ITGA11	magenta
ITGA5	magenta
ITGA8	pink
ITGB3	magenta
ITGBL1	magenta
ITM2A	pink
ITPA	blue
ITPK1	blue
ITPKA	blue
ITPKC	blue
IZUMO4	blue
JAG1	pink
JAG2	blue
JAM2	pink
JAM3	pink
JCAD	magenta
JOSD2	blue
JPH1	floralwhite
JUN	pink
JUNB	pink
KALRN	blue
KANK2	magenta
KANK3	pink
KAT5	blue
KAT8	blue
KAZALD1	blue
KCNA1	pink
KCNE1B	pink
KCNJ8	pink
KCNMB4	magenta
KCNS2	pink
KCTD11	blue
KCTD12	pink
KCTD13	blue
KDM8	blue
KDR	pink
KEAP1	blue
KERA	magenta
KHK	blue
KHSRP	blue
KIAA2013	blue
KIF12	blue
KIF22	blue
KIF26A	pink
KIF26B	magenta
KIF7	blue
KIRREL1	magenta
KL	pink
KLC2	blue
KLC4	blue
KLF11	blue
KLF16	blue
KLF2	pink
KLF4	pink
KLF9	pink
KLHDC8B	blue
KLHL13	pink
KLHL25	blue
KLHL26	blue
KLHL29	pink
KLHL3	pink
KLHL35	blue
KLK4	magenta
KMT5A	magenta
KMT5C	blue
KPTN	blue
KRBA1	blue
KRI1	blue
KRT14	pink
KRT18	blue
KRT19	blue
KRT8	blue
KSR1	blue
KXD1	blue
LACTB2	floralwhite
LAMA2	pink
LAMA4	magenta
LAMB1	magenta
LAMC3	pink
LAMP5	magenta
LAMTOR4	blue
LAPTM4B	floralwhite
LAS1L	blue
LAYN	magenta
LCA5	pink
LCMT1	blue
LCN10	pink
LCN12	blue
LCN6	pink
LDB1	blue
LDB2	pink
LDHD	blue
LDLRAD2	pink
LDLRAP1	blue
LEMD2	blue
LENG1	blue
LENG9	blue
LEPR	pink
LGI4	pink
LHFPL6	pink
LHX6	pink
LIFR	pink
LIG1	blue
LIMS1	blue
LIMS2	magenta
LIN7B	blue
LKAAEAR1	blue
LMAN2	blue
LMCD1	magenta
LMF1	blue
LMNA	blue
LMNTD2	blue
LMO2	pink
LMO7	blue
LMOD1	magenta
LMTK3	blue
LONP1	blue
LONRF3	blue
LOX	magenta
LOXHD1	pink
LOXL1	magenta
LOXL2	magenta
LPAR1	magenta
LPAR4	pink
LRCH2	pink
LRCOL1	blue
LRFN3	blue
LRFN4	blue
LRFN5	pink
LRP1	magenta
LRP12	blue
LRP3	blue
LRP4	pink
LRP6	blue
LRPAP1	blue
LRRC15	magenta
LRRC17	magenta
LRRC26	blue
LRRC27	blue
LRRC29	blue
LRRC32	magenta
LRRC47	blue
LRRC4B	pink
LRRC4C	pink
LRRC56	blue
LRRC61	blue
LRRC70	pink
LRRC73	blue
LRRC8A	pink
LRRN1	pink
LRRN3	pink
LRRN4CL	pink
LRWD1	blue
LSM4	blue
LSM7	blue
LSR	pink
LTBP2	magenta
LTBP4	pink
LTC4S	blue
LUC7L	blue
LUM	magenta
LURAP1	pink
LUZP2	pink
LY6G5C	blue
LY6H	pink
LYPLA2	blue
LYRM9	blue
LYVE1	pink
LZTS1	magenta
LZTS2	blue
MAB21L1	pink
MACROD1	blue
MAEA	blue
MAFF	pink
MAFK	blue
MAGEL2	magenta
MAGIX	blue
MAGOHB	pink
MAMDC2	pink
MANBAL	blue
MANF	pink
MAP11	blue
MAP1A	magenta
MAP1B	pink
MAP1LC3C	pink
MAP1S	blue
MAP2K2	blue
MAP2K7	blue
MAP3K10	blue
MAP3K11	blue
MAP3K7CL	pink
MAPK3	blue
MAPK7	blue
MAPKAPK3	blue
MARCHF2	blue
MARCHF9	blue
MARK4	blue
MARVELD1	magenta
MAS1L	pink
MATN2	pink
MATN3	magenta
MAX	blue
MBD3	blue
MBLAC1	blue
MBOAT7	blue
MCAM	pink
MCOLN1	blue
MCRIP2	blue
MCRS1	blue
MCTP1	pink
MDGA1	magenta
MECOM	pink
MED16	blue
MED18	blue
MED19	blue
MED25	blue
MED26	blue
MED29	blue
MED30	floralwhite
MEDAG	pink
MEGF6	magenta
MEIS1	pink
MEIS2	pink
MEN1	blue
MEOX1	pink
MEOX2	pink
METRN	blue
METTL11B	magenta
METTL22	blue
METTL24	magenta
METTL26	blue
METTL27	blue
METTL7A	pink
MEX3D	blue
MFAP2	magenta
MFAP3L	blue
MFAP4	pink
MFAP5	magenta
MFSD10	blue
MFSD12	blue
MGAT4B	blue
MGLL	pink
MGMT	blue
MGST2	blue
MICALL2	blue
MICOS13	blue
MICU3	pink
MID1IP1	blue
MIDN	blue
MIEF2	blue
MIER2	blue
MIIP	blue
MINAR1	blue
MISP3	blue
MITF	magenta
MKNK2	blue
MLF2	pink
MLLT1	blue
MLST8	blue
MMAB	blue
MMD	blue
MMEL1	blue
MMP10	magenta
MMP11	magenta
MMP13	magenta
MMP14	magenta
MMP16	magenta
MMP17	blue
MMP19	magenta
MMP2	magenta
MMP23B	pink
MMP28	magenta
MMRN1	pink
MMRN2	pink
MN1	magenta
MOB2	blue
MOCS1	pink
MON1A	blue
MPG	blue
MPND	blue
MRC2	magenta
MRGPRF	magenta
MRGPRX2	pink
MRM1	blue
MRM2	blue
MRPL12	blue
MRPL13	floralwhite
MRPL15	floralwhite
MRPL16	blue
MRPL20	blue
MRPL21	blue
MRPL28	blue
MRPL34	blue
MRPL4	blue
MRPL41	blue
MRPL43	blue
MRPL51	pink
MRPL54	blue
MRPL55	blue
MRPS26	blue
MRPS34	blue
MRS2	pink
MS4A2	pink
MSRB1	blue
MSRB3	magenta
MSX1	pink
MTA1	blue
MTAP	blue
MTERF3	floralwhite
MTFR1	floralwhite
MTFR1L	blue
MTIF3	blue
MTMR11	magenta
MUL1	blue
MUS81	blue
MVB12A	blue
MXD3	blue
MXD4	blue
MXRA5	magenta
MXRA7	magenta
MXRA8	magenta
MYADM	magenta
MYBL1	floralwhite
MYCT1	pink
MYDGF	blue
MYH11	pink
MYH9	magenta
MYL3	magenta
MYL5	blue
MYL9	magenta
MYO1B	magenta
MYOM3	pink
MZT2A	blue
MZT2B	blue
NAA10	blue
NAA60	blue
NAALAD2	pink
NAB2	blue
NACAD	magenta
NACC1	blue
NADK	blue
NADSYN1	blue
NAGLU	blue
NAGPA	blue
NAGS	blue
NAIF1	blue
NAP1L2	pink
NAP1L3	magenta
NAP1L4	blue
NAP1L5	pink
NAPRT	blue
NAT14	blue
NBDY	blue
NBL1	magenta
NBPF10	pink
NCDN	blue
NCLN	blue
NDN	magenta
NDUFA10	blue
NDUFA2	blue
NDUFAF3	blue
NDUFAF6	floralwhite
NDUFB10	blue
NDUFB7	blue
NDUFB9	floralwhite
NDUFS6	blue
NDUFS7	blue
NDUFS8	blue
NDUFV1	blue
NECAB3	blue
NEDD9	pink
NEFL	magenta
NEGR1	magenta
NEK8	blue
NELFA	blue
NETO1	magenta
NEU1	pink
NFATC4	blue
NFIA	pink
NFKBIB	blue
