"MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"Cluster 12","Clustered","5.0","HS6ST1","false","HS6ST1"
"Cluster 18","Clustered","3.75","LRP6","false","LRP6"
"Cluster 12","Clustered","4.761904761904762","GPC1","false","GPC1"
"Cluster 12","Clustered","4.761904761904762","B3GAT3","false","B3GAT3"
,"Unclustered","2.0","LRP12","false","LRP12"
"Cluster 12","Clustered","4.0","GMPPB","false","GMPPB"
"Cluster 12","Clustered","4.0","B4GAT1","false","B4GAT1"
"Cluster 12","Clustered","4.0","FKRP","false","FKRP"
,"Unclustered","1.6666666666666667","DOK7","false","DOK7"
"Cluster 12","Clustered","4.0","POMGNT1","false","POMGNT1"
"Cluster 18","Clustered","3.75","DVL1","false","DVL1"
"Cluster 12","Clustered","5.0","B3GALT6","false","B3GALT6"
,"Unclustered","0.6666666666666666","TNNT1","false","TNNT1"
"Cluster 12","Clustered","4.761904761904762","EXT2","false","EXT2"
"Cluster 19","Clustered","6.0","AGTRAP","false","AGTRAP"
"Cluster 12","Clustered","4.230769230769231","MAP2K2","false","MAP2K2"
"Cluster 12","Clustered","4.021978021978022","ARAF","false","ARAF"
,"Unclustered","2.0","KIAA2013","false","KIAA2013"
"Cluster 12","Clustered","4.690909090909091","KSR1","false","KSR1"
"Cluster 19","Clustered","5.333333333333333","LMNA","false","LMNA"
,"Unclustered","0.0","AHNAK2","false","AHNAK2"
,"Unclustered","1.0666666666666667","LMO7","false","LMO7"
,"Unclustered","0.4","AIP","false","AIP"
,"Unclustered","1.4666666666666666","SGTA","false","SGTA"
,"Unclustered","0.0","PLBD2","false","PLBD2"
"Cluster 28","Clustered","1.9393939393939394","FKBP8","false","FKBP8"
"Cluster 5","Clustered","7.0","MEN1","false","MEN1"
,"Unclustered","1.0666666666666667","AJM1","false","AJM1"
,"Unclustered","2.0","ZNF362","false","ZNF362"
"Cluster 1","Clustered","14.0","ATP5F1D","true","ATP5F1D"
,"Unclustered","4.285714285714286","PPP3CA","false","PPP3CA"
"Cluster 1","Clustered","14.0","ATP5MC2","true","ATP5MC2"
"Cluster 1","Clustered","17.0","MRPL4","true","MRPL4"
"Cluster 1","Clustered","17.0","MRPL12","true","MRPL12"
,"Unclustered","4.285714285714286","GUK1","false","GUK1"
,"Unclustered","1.6666666666666667","AKAP6","false","AKAP6"
"Cluster 20","Clustered","2.7564102564102564","PPP2R5B","false","PPP2R5B"
"Cluster 4","Clustered","8.426900584795321","GTF2F1","false","GTF2F1"
,"Unclustered","2.4000000000000004","MAPK7","false","MAPK7"
,"Unclustered","0.6666666666666666","AKIP1","false","AKIP1"
"Cluster 1","Clustered","17.0","AURKAIP1","true","AURKAIP1"
"Cluster 12","Clustered","4.083333333333334","RELA","false","RELA"
"Cluster 26","Clustered","3.6666666666666665","GRHPR","false","GRHPR"
"Cluster 28","Clustered","1.9487179487179487","AKT1S1","false","AKT1S1"
"Cluster 28","Clustered","1.6666666666666667","TBC1D17","false","TBC1D17"
"Cluster 17","Clustered","3.0","FIZ1","false","FIZ1"
,"Unclustered","0.6666666666666666","MACROD1","false","MACROD1"
,"Unclustered","1.4","TELO2","false","TELO2"
"Cluster 4","Clustered","8.0","WDR24","false","WDR24"
"Cluster 12","Clustered","4.107142857142857","RPS6KB2","false","RPS6KB2"
"Cluster 20","Clustered","2.692307692307692","ULK1","false","ULK1"
"Cluster 18","Clustered","3.8461538461538467","STK11","false","STK11"
"Cluster 12","Clustered","4.523809523809524","ATG101","false","ATG101"
"Cluster 4","Clustered","8.0","LAMTOR4","false","LAMTOR4"
"Cluster 20","Clustered","3.087719298245614","SQSTM1","false","SQSTM1"
,"Unclustered","3.0","FZR1","false","FZR1"
"Cluster 4","Clustered","8.0","MLST8","false","MLST8"
"Cluster 21","Clustered","3.3000000000000003","CDC37","false","CDC37"
"Cluster 21","Clustered","3.466666666666667","MUL1","false","MUL1"
,"Unclustered","1.4","G6PC3","false","G6PC3"
"Cluster 4","Clustered","8.0","PPP2R1A","false","PPP2R1A"
"Cluster 21","Clustered","3.4285714285714284","CREB3L2","false","CREB3L2"
"Cluster 19","Clustered","5.8545454545454545","CASP9","false","CASP9"
"Cluster 21","Clustered","3.4285714285714284","CREB3","false","CREB3"
,"Unclustered","0.6666666666666666","CRTC1","false","CRTC1"
"Cluster 21","Clustered","3.4285714285714284","ATF6B","false","ATF6B"
"Cluster 12","Clustered","4.666666666666666","BCL2L1","false","BCL2L1"
"Cluster 20","Clustered","2.6373626373626373","PRKCZ","false","PRKCZ"
,"Unclustered","6.252631578947369","PHB2","false","PHB2"
,"Unclustered","3.142857142857143","BAD","false","BAD"
"Cluster 5","Clustered","6.805555555555555","TRIM28","false","TRIM28"
,"Unclustered","2.0","ERP29","false","ERP29"
"Cluster 12","Clustered","4.761904761904762","ILVBL","false","ILVBL"
,"Unclustered","1.2","FAHD1","false","FAHD1"
,"Unclustered","1.0666666666666667","NADK","false","NADK"
,"Unclustered","1.2","ALKBH4","false","ALKBH4"
"Cluster 6","Clustered","9.047619047619047","APEX1","false","APEX1"
,"Unclustered","4.909090909090909","ALKBH7","false","ALKBH7"
,"Unclustered","3.0","D2HGDH","false","D2HGDH"
,"Unclustered","2.564102564102564","WDR83","false","WDR83"
,"Unclustered","1.6666666666666667","ZNF576","false","ZNF576"
"Cluster 1","Clustered","14.0","NDUFB7","true","NDUFB7"
"Cluster 1","Clustered","14.0","NDUFS7","true","NDUFS7"
"Cluster 6","Clustered","9.340659340659341","OGG1","false","OGG1"
"Cluster 6","Seed","11.0","PHPT1","false","PHPT1"
"Cluster 1","Clustered","14.0","UQCRQ","true","UQCRQ"
"Cluster 1","Clustered","17.0","MRPL41","true","MRPL41"
,"Unclustered","0.6666666666666666","SAMD10","false","SAMD10"
,"Unclustered","4.761904761904762","MICOS13","false","MICOS13"
,"Unclustered","0.6666666666666666","PGLS","false","PGLS"
,"Unclustered","1.0476190476190477","GMPPA","false","GMPPA"
,"Unclustered","0.0","AMMECR1","false","AMMECR1"
"Cluster 26","Clustered","3.4285714285714284","GFER","false","GFER"
,"Unclustered","5.153846153846154","CCDC12","false","CCDC12"
,"Unclustered","3.0","RFXANK","false","RFXANK"
,"Unclustered","3.0","ANKRD9","false","ANKRD9"
,"Unclustered","4.523809523809524","DNAJC17","false","DNAJC17"
"Cluster 6","Clustered","9.230769230769232","ELOB","false","ELOB"
"Cluster 21","Clustered","3.2222222222222223","CCDC22","false","CCDC22"
,"Unclustered","1.6666666666666667","FBXO44","false","FBXO44"
,"Unclustered","2.4000000000000004","ANKS3","false","ANKS3"
,"Unclustered","0.3333333333333333","ZNF500","false","ZNF500"
"Cluster 20","Clustered","2.7","RHBDL1","false","RHBDL1"
,"Unclustered","2.0","NEK8","false","NEK8"
"Cluster 20","Clustered","2.7","WDR90","false","WDR90"
,"Unclustered","2.1999999999999997","RHOT2","false","RHOT2"
"Cluster 20","Clustered","2.7","EML4","false","EML4"
,"Unclustered","0.5","ANO8","false","ANO8"
,"Unclustered","4.0","OBSL1","false","OBSL1"
,"Unclustered","0.6666666666666666","BVES","false","BVES"
"Cluster 20","Clustered","3.0","OSBPL5","false","OSBPL5"
,"Unclustered","1.2","ANTKMT","false","ANTKMT"
,"Unclustered","2.1999999999999997","TSR3","false","TSR3"
,"Unclustered","3.0","CIAO3","false","CIAO3"
,"Unclustered","1.0476190476190477","TMEM160","false","TMEM160"
,"Unclustered","0.6666666666666666","LMF1","false","LMF1"
"Cluster 1","Clustered","14.0","NDUFB10","true","NDUFB10"
,"Unclustered","0.6666666666666666","LYRM9","false","LYRM9"
,"Unclustered","2.0","METTL22","false","METTL22"
,"Unclustered","2.0","HAGHL","false","HAGHL"
,"Unclustered","2.0","EEF2KMT","false","EEF2KMT"
,"Unclustered","3.0","METRN","false","METRN"
"Cluster 3","Clustered","5.833333333333334","AP1M2","false","AP1M2"
,"Unclustered","1.2","DNASE2","false","DNASE2"
"Cluster 3","Clustered","5.833333333333334","CLTB","false","CLTB"
"Cluster 3","Clustered","6.1090909090909085","GAK","false","GAK"
"Cluster 3","Clustered","6.0","BLOC1S4","false","BLOC1S4"
,"Unclustered","2.0","PRSS8","false","PRSS8"
"Cluster 3","Clustered","6.805555555555555","AP2A2","false","AP2A2"
"Cluster 18","Clustered","4.0","PKP3","false","PKP3"
"Cluster 3","Clustered","5.833333333333334","AP2A1","false","AP2A1"
"Cluster 5","Clustered","6.805555555555555","DNAJC6","false","DNAJC6"
,"Unclustered","2.0","ARHGEF16","false","ARHGEF16"
"Cluster 3","Clustered","5.833333333333334","PICALM","false","PICALM"
"Cluster 3","Clustered","6.805555555555555","AP4M1","false","AP4M1"
"Cluster 3","Clustered","6.1090909090909085","EPN1","false","EPN1"
"Cluster 18","Clustered","3.7333333333333334","CLDN4","false","CLDN4"
"Cluster 5","Clustered","7.0","RAB5C","false","RAB5C"
"Cluster 3","Seed","7.0","CLBA1","false","CLBA1"
,"Unclustered","3.0","PIP5K1C","false","PIP5K1C"
"Cluster 12","Clustered","5.0","AP5Z1","false","AP5Z1"
,"Unclustered","1.8214285714285712","VPS18","false","VPS18"
,"Unclustered","3.7333333333333334","PTPN23","false","PTPN23"
"Cluster 19","Clustered","5.0","FZD5","false","FZD5"
"Cluster 19","Clustered","5.0","STX10","false","STX10"
,"Unclustered","3.0","STXBP2","false","STXBP2"
,"Unclustered","2.0","TBC1D10B","false","TBC1D10B"
"Cluster 20","Clustered","3.0","STRN4","false","STRN4"
,"Unclustered","5.0","LDLRAP1","false","LDLRAP1"
,"Unclustered","0.9523809523809523","FBXW9","false","FBXW9"
"Cluster 12","Clustered","4.0","RTN2","false","RTN2"
"Cluster 12","Clustered","4.0","ZFYVE27","false","ZFYVE27"
,"Unclustered","0.4","APBA3","false","APBA3"
,"Unclustered","1.2","UBOX5","false","UBOX5"
,"Unclustered","1.6666666666666667","NECAB3","false","NECAB3"
,"Unclustered","3.0","APEH","false","APEH"
,"Unclustered","2.0","SNX17","false","SNX17"
"Cluster 1","Clustered","17.0","OXA1L","true","OXA1L"
,"Unclustered","0.6666666666666666","SHISA5","false","SHISA5"
,"Unclustered","1.6666666666666667","DPP7","false","DPP7"
,"Unclustered","2.0","NUCB1","false","NUCB1"
,"Unclustered","2.0","FAM234A","false","FAM234A"
,"Unclustered","0.7857142857142857","DPP3","false","DPP3"
,"Unclustered","3.4285714285714284","WDR6","false","WDR6"
"Cluster 6","Clustered","9.047619047619047","ERCC1","false","ERCC1"
"Cluster 4","Clustered","7.714285714285714","POLR2E","false","POLR2E"
,"Unclustered","2.0","SLC25A42","false","SLC25A42"
,"Unclustered","6.377777777777777","RAD23A","false","RAD23A"
,"Unclustered","10.0","DDB2","false","DDB2"
,"Unclustered","2.0","UBR2","false","UBR2"
,"Unclustered","5.0","POLD4","false","POLD4"
,"Unclustered","7.0","MGMT","false","MGMT"
,"Unclustered","10.0","MUS81","false","MUS81"
"Cluster 6","Clustered","9.0","RPA2","false","RPA2"
,"Unclustered","9.848484848484848","RAD9A","false","RAD9A"
"Cluster 6","Clustered","9.340659340659341","XRCC3","false","XRCC3"
,"Unclustered","5.83","ERCC2","false","ERCC2"
"Cluster 6","Clustered","9.0","MPG","false","MPG"
,"Unclustered","9.848484848484848","PNKP","false","PNKP"
"Cluster 6","Clustered","9.340659340659341","NTHL1","false","NTHL1"
"Cluster 6","Clustered","9.047619047619047","XRCC1","false","XRCC1"
,"Unclustered","0.0","AQP8","false","AQP8"
"Cluster 20","Clustered","3.0","LCMT1","false","LCMT1"
"Cluster 21","Clustered","3.2727272727272725","PPP5C","false","PPP5C"
"Cluster 18","Clustered","3.7777777777777777","GNA11","false","GNA11"
,"Unclustered","6.611111111111111","TIMM44","false","TIMM44"
,"Unclustered","2.0","PAK4","false","PAK4"
