"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048644","GO:0048644","muscle organ morphogenesis","11/445","80/18614",3.06141234307644e-06,0.000123024590858886,9.66761792550456e-05,"1301/1281/1909/30008/4634/3084/4092/7168/7472/7474/23414",11
"GO:0031099","GO:0031099","regeneration","17/445","190/18614",3.34238958785414e-06,0.000132945251157709,0.000104472112788996,"285/558/6387/2596/2621/84525/4313/4747/4815/4837/9315/5396/5738/861/55959/7070/10413",17
"GO:0045765","GO:0045765","regulation of angiogenesis","24/445","349/18614",3.92612191018085e-06,0.000154586092988737,0.000121478094190604,"8038/25960/285/100506013/1634/11117/2246/8817/26585/140862/3678/3690/57608/5587/8434/861/5054/5176/6423/6678/23213/7058/7291/7474",24
"GO:0060389","GO:0060389","pathway-restricted SMAD protein phosphorylation","10/445","67/18614",4.04339311205667e-06,0.000157611463507969,0.000123855515327209,"353500/1601/11117/392255/26585/3624/4035/56937/4092/7043",10
"GO:0048146","GO:0048146","positive regulation of fibroblast proliferation","9/445","53/18614",4.10181639008415e-06,0.000158305745431168,0.000124401101564824,"57124/4921/2335/2621/3690/5156/5159/7472/7474",9
"GO:0003094","GO:0003094","glomerular filtration","7/445","29/18614",4.2135800255545e-06,0.000160426088882766,0.000126067327009492,"1909/2150/2621/2702/55243/23213/55959",7
"GO:0060349","GO:0060349","bone morphogenesis","12/445","99/18614",4.23906802332605e-06,0.000160426088882766,0.000126067327009492,"1277/1281/1311/8817/4322/4323/4325/860/6424/7043/338773/7291",12
"GO:0030336","GO:0030336","negative regulation of cell migration","25/445","375/18614",4.2809572010113e-06,0.000160453568937904,0.000126088921608734,"285/1009/1265/1281/6387/1634/1809/11117/26585/4035/4286/79148/4681/127435/5592/8434/5054/5176/6423/4092/23213/6910/7070/7130/7168",25
"GO:0007517","GO:0007517","muscle organ development","24/445","351/18614",4.32977813481358e-06,0.000160737858757175,0.000126312324534411,"1134/8506/1301/1281/1293/1909/30008/2006/2115/2121/26508/22801/4015/4634/3084/6444/4092/6876/7093/7168/7291/7472/7474/23414",24
"GO:0030178","GO:0030178","negative regulation of Wnt signaling pathway","16/445","174/18614",4.55310687871836e-06,0.000167434062389096,0.000131574389444592,"80114/115908/1601/51339/147906/27122/26585/3090/4035/85409/6423/6424/387914/388336/9096/7474",16
"GO:0030512","GO:0030512","negative regulation of transforming growth factor beta receptor signaling pathway","12/445","100/18614",4.71451200213516e-06,0.000170158960965952,0.000133715691288629,"9719/54829/8483/11117/2200/5654/94031/56937/65997/4092/7041/7043",12
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","12/445","100/18614",4.71451200213516e-06,0.000170158960965952,0.000133715691288629,"84168/558/1601/2192/10979/2335/3690/3912/55679/91663/55742/10630",12
"GO:0043542","GO:0043542","endothelial cell migration","21/445","283/18614",4.91629349043428e-06,0.00017581387179553,0.000138159479064836,"25960/285/1012/1634/2191/2246/8823/8817/11167/26585/3690/57608/4017/4627/5587/54453/5176/6678/27286/196740/7474",21
"GO:1901342","GO:1901342","regulation of vasculature development","24/445","355/18614",5.25277616517549e-06,0.000184878094222964,0.000145282399662128,"8038/25960/285/100506013/1634/11117/2246/8817/26585/140862/3678/3690/57608/5587/8434/861/5054/5176/6423/6678/23213/7058/7291/7474",24
"GO:0060394","GO:0060394","negative regulation of pathway-restricted SMAD protein phosphorylation","5/445","12/18614",5.2646147918802e-06,0.000184878094222964,0.000145282399662128,"11117/26585/4035/56937/4092",5
"GO:0003007","GO:0003007","heart morphogenesis","20/445","262/18614",5.40675384040991e-06,0.000188174343481409,0.000147872684920985,"3491/1301/1289/1909/2006/2702/9464/26508/4634/3084/55742/6423/4092/6910/7168/7291/7472/7474/10413/23414",20
"GO:0003229","GO:0003229","ventricular cardiac muscle tissue development","9/445","55/18614",5.64159379251869e-06,0.000194610023037503,0.000152930022694265,"1301/1909/84525/4634/3084/4092/6910/7168/23414",9
"GO:0030282","GO:0030282","bone mineralization","13/445","121/18614",6.59349086917859e-06,0.000225451117614545,0.000177165821138594,"54829/3491/1278/1311/4921/26585/4015/4322/5745/4920/338773/7291/7421",13
"GO:0001958","GO:0001958","endochondral ossification","7/445","31/18614",6.81147762001563e-06,0.000226932818485649,0.000178330183304053,"1277/8817/4322/4323/4325/860/338773",7
"GO:0036075","GO:0036075","replacement ossification","7/445","31/18614",6.81147762001563e-06,0.000226932818485649,0.000178330183304053,"1277/8817/4322/4323/4325/860/338773",7
"GO:0097205","GO:0097205","renal filtration","7/445","31/18614",6.81147762001563e-06,0.000226932818485649,0.000178330183304053,"1909/2150/2621/2702/55243/23213/55959",7
"GO:0070374","GO:0070374","positive regulation of ERK1 and ERK2 cascade","18/445","222/18614",6.94854371787246e-06,0.000229537486544634,0.000180377004629874,"57007/59/100506013/1490/4921/2150/10979/2246/8817/2621/9464/3624/3690/50507/3084/5156/5159/5322",18
"GO:0060070","GO:0060070","canonical Wnt signaling pathway","22/445","313/18614",7.01539547995607e-06,0.000229798416645956,0.000180582050833013,"25960/80114/1277/115908/1601/51339/147906/27122/1909/26585/4811/85409/8434/6423/6424/388336/55959/9096/79971/7472/7474/10413",22
"GO:0032332","GO:0032332","positive regulation of chondrocyte differentiation","6/445","21/18614",7.22052329337164e-06,0.000234546664979689,0.000184313357751855,"8817/392255/4017/5593/860/4092",6
"GO:0043010","GO:0043010","camera-type eye development","23/445","338/18614",7.41527984366768e-06,0.000238882320914187,0.000187720437973666,"1282/1295/1296/155051/120114/2200/2295/3624/11081/4286/4810/5156/5159/5309/5961/5176/55714/7070/7291/196740/7472/7474/6935",23
"GO:0048771","GO:0048771","tissue remodeling","16/445","181/18614",7.55847504239871e-06,0.000241499473075985,0.000189777069658156,"558/115908/1513/4921/1909/26585/9464/3690/4286/4323/4313/50507/5745/861/338773/7421",16
"GO:0035051","GO:0035051","cardiocyte differentiation","15/445","161/18614",7.6891242478932e-06,0.00024367647413242,0.000191487818240216,"57538/1909/26585/9464/3624/50507/3084/5156/5159/5999/6444/9096/6910/26011/7291",15
"GO:0002685","GO:0002685","regulation of leukocyte migration","18/445","227/18614",9.45112732874034e-06,0.00029710076070508,0.000233470123316082,"4267/1265/6387/11117/2150/2621/26585/3554/3690/4323/79148/4681/5919/5054/7070/7130/7474/7499",18
"GO:0032526","GO:0032526","response to retinoic acid","12/445","107/18614",9.56945370999486e-06,0.00029841384449248,0.000234501981440716,"1277/1592/2706/9464/3490/4313/5020/5159/5176/7472/7474/10413",12
"GO:0045766","GO:0045766","positive regulation of angiogenesis","16/445","185/18614",9.97891804217004e-06,0.000306282067152589,0.000240685051825237,"8038/285/100506013/11117/2246/8817/26585/3678/3690/57608/5587/861/5054/6423/7291/7474",16
"GO:1904018","GO:1904018","positive regulation of vasculature development","16/445","185/18614",9.97891804217004e-06,0.000306282067152589,0.000240685051825237,"8038/285/100506013/11117/2246/8817/26585/3678/3690/57608/5587/861/5054/6423/7291/7474",16
"GO:0044703","GO:0044703","multi-organism reproductive process","17/445","207/18614",1.05337896376448e-05,0.000320786812558902,0.000252083288203506,"285/100506013/1307/10699/1833/2192/2706/3490/3678/3690/4313/5020/8434/85360/7043/7216/7421",17
"GO:0030177","GO:0030177","positive regulation of Wnt signaling pathway","14/445","146/18614",1.10768157336779e-05,0.000334708742092065,0.00026302353149737,"25960/8840/1277/1601/51339/8434/6299/6423/6424/23213/55959/79971/7474/10413",14
"GO:0010712","GO:0010712","regulation of collagen metabolic process","8/445","46/18614",1.17807183279652e-05,0.000348514642551325,0.000273872595885705,"1490/4921/11117/2191/3624/5159/861/7043",8
"GO:0055008","GO:0055008","cardiac muscle tissue morphogenesis","9/445","60/18614",1.18019324824974e-05,0.000348514642551325,0.000273872595885705,"1301/1909/4634/3084/4092/7168/7472/7474/23414",9
"GO:0060350","GO:0060350","endochondral bone morphogenesis","9/445","60/18614",1.18019324824974e-05,0.000348514642551325,0.000273872595885705,"1277/1281/1311/8817/4322/4323/4325/860/338773",9
"GO:0035988","GO:0035988","chondrocyte proliferation","6/445","23/18614",1.28978085075887e-05,0.000378012462876548,0.000297052811690409,"1490/1311/4921/4323/4325/4092",6
"GO:2000027","GO:2000027","regulation of animal organ morphogenesis","13/445","129/18614",1.33090351778905e-05,0.000387153874055352,0.000304236389376759,"115908/1601/51339/2246/10082/26585/166336/4920/860/6423/23213/7472/7474",13
"GO:0090130","GO:0090130","tissue migration","24/445","379/18614",1.5680606240732e-05,0.000452762986121284,0.000355793872596726,"59/25960/285/100506013/1012/1634/2191/2246/8823/8817/11167/26585/3690/57608/25959/4017/4627/5587/54453/5176/6678/27286/196740/7474",24
"GO:0055001","GO:0055001","muscle cell development","16/445","192/18614",1.59157693944286e-05,0.000456174037496195,0.000358474372583492,"57538/8506/1311/1909/30008/2318/25802/4015/10398/5156/5159/5999/6444/9096/6910/7168",16
"GO:0048048","GO:0048048","embryonic eye morphogenesis","7/445","35/18614",1.60377830009607e-05,0.000456315898815656,0.000358585851193206,"2200/2295/4237/8076/7291/7474/6935",7
"GO:0030100","GO:0030100","regulation of endocytosis","17/445","214/18614",1.62796617968641e-05,0.000456533249526449,0.000358756651487124,"100506013/558/1012/25999/1601/1815/2150/26585/3690/1902/4035/5587/11031/5054/6424/84251/7474",17
"GO:1901888","GO:1901888","regulation of cell junction assembly","17/445","214/18614",1.62796617968641e-05,0.000456533249526449,0.000358756651487124,"1307/10979/26585/84525/11178/266727/4323/257194/57555/5020/5789/27286/79953/6910/7058/7070/7474",17
"GO:0060828","GO:0060828","regulation of canonical Wnt signaling pathway","19/445","260/18614",1.71687394987611e-05,0.000478026761186933,0.000375646856702216,"25960/80114/1277/115908/1601/51339/147906/27122/26585/85409/8434/6423/6424/388336/55959/9096/79971/7474/10413",19
"GO:0044706","GO:0044706","multi-multicellular organism process","17/445","216/18614",1.8368483962964e-05,0.000507803904167615,0.000399046572095746,"285/100506013/1307/10699/1833/2192/2706/3490/3678/3690/4313/5020/8434/85360/7043/7216/7421",17
"GO:0048844","GO:0048844","artery morphogenesis","10/445","80/18614",2.03577789801902e-05,0.000554927429823645,0.000436077562255086,"1281/1311/1909/30008/2702/9464/4035/5159/5396/4092",10
"GO:0071230","GO:0071230","cellular response to amino acid stimulus","10/445","80/18614",2.03577789801902e-05,0.000554927429823645,0.000436077562255086,"1307/1277/1278/1281/1282/1290/1291/4313/5156/6935",10
"GO:0060326","GO:0060326","cell chemotaxis","21/445","312/18614",2.16990357224024e-05,0.000587380841985588,0.000461580365147596,"6387/9547/2150/2246/8823/8817/2621/26585/4015/1902/4313/79148/4681/55742/5156/5159/5587/5919/5054/7130/7474",21
"GO:0032970","GO:0032970","regulation of actin filament-based process","24/445","387/18614",2.20555331206989e-05,0.000592913573134374,0.000465928140698611,"59/1490/1265/6387/2006/2150/10979/2702/3690/55243/25802/1902/4035/54551/91663/4627/5156/5159/10630/5350/5999/50944/7043/7168",24
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","28/445","495/18614",2.49746080976038e-05,0.000666787824414107,0.000523980602480368,"57007/59/84962/100506013/1490/4921/1815/2150/10979/2246/8817/2621/392255/9464/3624/3690/57608/1902/50507/3084/5156/5159/5322/4920/344558/7043/55504/7474",28
"GO:0010976","GO:0010976","positive regulation of neuron projection development","14/445","157/18614",2.52809652425353e-05,0.00066766923320781,0.000524673238269214,"1272/4921/1809/8507/9638/257194/64175/163404/5587/4920/5176/11075/55714/7474",14
"GO:0003151","GO:0003151","outflow tract morphogenesis","10/445","82/18614",2.53501915122514e-05,0.00066766923320781,0.000524673238269214,"1909/2006/2702/9464/26508/55742/6423/7291/7474/23414",10
"GO:0048562","GO:0048562","embryonic organ morphogenesis","20/445","294/18614",2.91927711773863e-05,0.000761815534425383,0.000598656046333576,"1301/115908/1909/2200/2295/9464/4237/8076/4323/4325/579/5156/5396/860/9096/7043/7291/7474/10413/6935",20
"GO:0007596","GO:0007596","blood coagulation","17/445","224/18614",2.93156311348916e-05,0.000761815534425383,0.000598656046333576,"558/1281/1311/9162/11117/2162/2150/2191/2192/2621/3690/4627/10398/5156/10630/5592/5054",17
"GO:0090090","GO:0090090","negative regulation of canonical Wnt signaling pathway","13/445","139/18614",2.96566875577464e-05,0.00076557462317944,0.000601610043869237,"80114/115908/1601/51339/147906/27122/26585/85409/6423/6424/388336/9096/7474",13
"GO:0033002","GO:0033002","muscle cell proliferation","18/445","249/18614",3.28893734105335e-05,0.000843439326014867,0.000662798314575156,"8840/1012/1264/4921/30008/2006/3690/4313/5159/5592/861/6910/26011/7043/7168/7472/10413/23414",18
"GO:0060071","GO:0060071","Wnt signaling pathway, planar cell polarity pathway","8/445","53/18614",3.45723544797676e-05,0.000877030554117782,0.000689195245195308,"115908/1601/51339/10082/166336/4920/6423/7474",8
"GO:0016485","GO:0016485","protein processing","18/445","250/18614",3.46756499972837e-05,0.000877030554117782,0.000689195245195308,"9509/165/23621/649/1311/10699/56265/2028/4323/4325/4627/85409/861/6447/90701/5054/10418/7093",18
"GO:0032967","GO:0032967","positive regulation of collagen biosynthetic process","6/445","27/18614",3.48742267542987e-05,0.000877030554117782,0.000689195245195308,"1490/4921/3624/5159/861/7043",6
"GO:0090132","GO:0090132","epithelium migration","23/445","374/18614",3.71751304665368e-05,0.000924979646062332,0.000726874988534305,"25960/285/100506013/1012/1634/2191/2246/8823/8817/11167/26585/3690/57608/25959/4017/4627/5587/54453/5176/6678/27286/196740/7474",23
"GO:0045217","GO:0045217","cell-cell junction maintenance","5/445","17/18614",3.7255465477626e-05,0.000924979646062332,0.000726874988534305,"8506/2150/10979/55243/57555",5
"GO:0050817","GO:0050817","coagulation","17/445","229/18614",3.87979630797471e-05,0.00095718012711933,0.000752179031059721,"558/1281/1311/9162/11117/2162/2150/2191/2192/2621/3690/4627/10398/5156/10630/5592/5054",17
"GO:0007599","GO:0007599","hemostasis","17/445","230/18614",4.09914221393476e-05,0.00100493436163004,0.000789705649953667,"558/1281/1311/9162/11117/2162/2150/2191/2192/2621/3690/4627/10398/5156/10630/5592/5054",17
"GO:0030514","GO:0030514","negative regulation of BMP signaling pathway","9/445","70/18614",4.20472090418663e-05,0.00102437513028247,0.000804982752051519,"2200/26585/5654/94031/4681/6423/4092/7130/7474",9
"GO:0010714","GO:0010714","positive regulation of collagen metabolic process","6/445","28/18614",4.34953883291919e-05,0.00104657422041475,0.000822427420649437,"1490/4921/3624/5159/861/7043",6
"GO:1903055","GO:1903055","positive regulation of extracellular matrix organization","6/445","28/18614",4.34953883291919e-05,0.00104657422041475,0.000822427420649437,"4921/30008/11117/10630/23187/861",6
"GO:1901890","GO:1901890","positive regulation of cell junction assembly","11/445","106/18614",4.65691823292687e-05,0.00111366056883122,0.000875145757689195,"1307/10979/84525/57555/5020/5789/27286/79953/6910/7058/7070",11
"GO:0032965","GO:0032965","regulation of collagen biosynthetic process","7/445","41/18614",4.73801444434055e-05,0.00112614514049021,0.00088495648479018,"1490/4921/11117/3624/5159/861/7043",7
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","27/445","487/18614",4.91377712685765e-05,0.00116084262063582,0.00091222273934008,"23621/815/1009/9162/1759/2894/27345/11178/4130/4747/81832/57555/4885/5020/27253/5789/5924/5999/4920/6343/50944/388336/25769/6529/57537/57616/7474",27
"GO:0055123","GO:0055123","digestive system development","13/445","146/18614",4.97052458505869e-05,0.00116642513073785,0.00091660963259084,"1281/51339/2295/579/5156/5919/6299/6343/6423/7043/79971/7474/10413",13
"GO:0010927","GO:0010927","cellular component assembly involved in morphogenesis","12/445","126/18614",4.99725492132429e-05,0.00116642513073785,0.00091660963259084,"1272/8506/2318/25802/10398/5156/5159/23187/5350/5376/26011/7168",12
"GO:0003279","GO:0003279","cardiac septum development","11/445","107/18614",5.08087345668938e-05,0.00117362868056956,0.000922270384396161,"11174/3491/2702/26508/55742/6299/57167/4092/6910/7474/23414",11
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","27/445","488/18614",5.08833368435751e-05,0.00117362868056956,0.000922270384396161,"23621/815/1009/9162/1759/2894/27345/11178/4130/4747/81832/57555/4885/5020/27253/5789/5924/5999/4920/6343/50944/388336/25769/6529/57537/57616/7474",27
"GO:0071229","GO:0071229","cellular response to acid chemical","10/445","89/18614",5.19349475759465e-05,0.00119083779794729,0.00093579379223532,"1307/1277/1278/1281/1282/1290/1291/4313/5156/6935",10
"GO:0072012","GO:0072012","glomerulus vasculature development","6/445","29/18614",5.37428165823147e-05,0.00122007568711566,0.000958769746835508,"59/285/1909/3690/5156/5159",6
"GO:0051604","GO:0051604","protein maturation","21/445","332/18614",5.38360744443031e-05,0.00122007568711566,0.000958769746835508,"9509/165/23621/649/1311/10699/56265/2028/2162/2192/4323/4325/4627/85409/5961/861/6447/90701/5054/10418/7093",21
"GO:0035567","GO:0035567","non-canonical Wnt signaling pathway","9/445","73/18614",5.89253696072629e-05,0.00132075909206942,0.00103788959464287,"115908/1601/51339/10082/166336/4920/6423/6424/7474",9
"GO:0007566","GO:0007566","embryo implantation","8/445","57/18614",5.9295238869202e-05,0.00132075909206942,0.00103788959464287,"100506013/2192/3490/3690/4313/8434/85360/7216",8
"GO:0090175","GO:0090175","regulation of establishment of planar polarity","8/445","57/18614",5.9295238869202e-05,0.00132075909206942,0.00103788959464287,"115908/1601/51339/10082/166336/4920/6423/7474",8
"GO:0048251","GO:0048251","elastic fiber assembly","4/445","10/18614",6.03660227285366e-05,0.00133697020793088,0.00105062874485671,"1281/30008/11117/4015",4
"GO:0050808","GO:0050808","synapse organization","26/445","466/18614",6.09571318931795e-05,0.00134243446395262,0.00105492271072942,"1134/8506/1282/392617/2561/2596/2894/3690/11178/266727/4747/257194/57555/5020/27253/10154/5789/4920/50944/388336/6529/27286/79953/7058/7474/22891",26
"GO:0060021","GO:0060021","roof of mouth development","10/445","91/18614",6.29132855778754e-05,0.00137773026507055,0.00108265914270619,"54796/2295/9464/3624/2615/5156/5396/7043/7291/7474",10
"GO:0001736","GO:0001736","establishment of planar polarity","9/445","74/18614",6.56869914748425e-05,0.00141462924181733,0.00111165539512528,"115908/1601/51339/2295/10082/166336/4920/6423/7474",9
"GO:0003281","GO:0003281","ventricular septum development","9/445","74/18614",6.56869914748425e-05,0.00141462924181733,0.00111165539512528,"3491/2702/26508/6299/57167/4092/6910/7474/23414",9
"GO:0007164","GO:0007164","establishment of tissue polarity","9/445","74/18614",6.56869914748425e-05,0.00141462924181733,0.00111165539512528,"115908/1601/51339/2295/10082/166336/4920/6423/7474",9
"GO:0010718","GO:0010718","positive regulation of epithelial to mesenchymal transition","8/445","58/18614",6.73635790806585e-05,0.00143488104511698,0.00112756983103087,"1277/1601/10979/4017/10630/7041/7043/7291",8
"GO:0048010","GO:0048010","vascular endothelial growth factor receptor signaling pathway","8/445","58/18614",6.73635790806585e-05,0.00143488104511698,0.00112756983103087,"558/11117/8817/3678/3690/5587/23213/79652",8
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","24/445","419/18614",7.77690027166982e-05,0.00164751941624831,0.00129466703607318,"100506013/1012/6387/1601/2246/5654/3690/57608/3912/55679/5587/860/5176/6423/6678/23213/55959/7291/7421/7472/7474/10413/6935/677",24
"GO:0033688","GO:0033688","regulation of osteoblast proliferation","6/445","31/18614",7.99977198667226e-05,0.00166754605369243,0.00131040453032459,"3491/115908/26585/3690/4330/338773",6
"GO:0061437","GO:0061437","renal system vasculature development","6/445","31/18614",7.99977198667226e-05,0.00166754605369243,0.00131040453032459,"59/285/1909/3690/5156/5159",6
"GO:0061440","GO:0061440","kidney vasculature development","6/445","31/18614",7.99977198667226e-05,0.00166754605369243,0.00131040453032459,"59/285/1909/3690/5156/5159",6
"GO:0044344","GO:0044344","cellular response to fibroblast growth factor stimulus","11/445","113/18614",8.38766332318617e-05,0.00173910168264786,0.00136663495355385,"1490/1277/2246/8823/8817/860/387914/23213/55959/7474/677",11
"GO:0003179","GO:0003179","heart valve morphogenesis","8/445","60/18614",8.62496023132232e-05,0.00177884100432245,0.00139786322880245,"3491/1009/2006/11117/2702/26508/6910/7291",8
"GO:0048701","GO:0048701","embryonic cranial skeleton morphogenesis","7/445","45/18614",8.80785466648399e-05,0.00180700092052393,0.00141999208196501,"4323/4325/5156/5396/860/7043/7291",7
"GO:0048565","GO:0048565","digestive tract development","12/445","134/18614",9.10903671600246e-05,0.00185900655073181,0.00146085956701941,"1281/51339/2295/579/5156/5919/6299/6343/6423/7043/7474/10413",12
"GO:0010631","GO:0010631","epithelial cell migration","22/445","371/18614",9.32851177520269e-05,0.00189388223436146,0.0014882658588728,"25960/285/1012/1634/2191/2246/8823/8817/11167/26585/3690/57608/25959/4017/4627/5587/54453/5176/6678/27286/196740/7474",22
"GO:0061037","GO:0061037","negative regulation of cartilage development","6/445","32/18614",9.64878681742029e-05,0.00193870984609816,0.00152349265538215,"81792/11173/8840/1513/26585/579",6
"GO:0071295","GO:0071295","cellular response to vitamin","6/445","32/18614",9.64878681742029e-05,0.00193870984609816,0.00152349265538215,"1277/2621/25959/4330/10631/7421",6
"GO:0007044","GO:0007044","cell-substrate junction assembly","10/445","96/18614",9.93144838803343e-05,0.00198527106751561,0.0015600817710757,"84962/1009/1307/10979/2335/26585/3678/3690/4323/7070",10
"GO:0034331","GO:0034331","cell junction maintenance","7/445","46/18614",0.000101773028674023,0.00201376277041289,0.00158247135154371,"8506/2150/10979/3690/55243/57555/50944",7
"GO:0055010","GO:0055010","ventricular cardiac muscle tissue morphogenesis","7/445","46/18614",0.000101773028674023,0.00201376277041289,0.00158247135154371,"1301/1909/4634/3084/4092/7168/23414",7
"GO:0048754","GO:0048754","branching morphogenesis of an epithelial tube","13/445","157/18614",0.000104918773258198,0.0020655221119215,0.00162314529601997,"170690/1282/1909/2246/26585/4323/6299/6423/25789/7421/7472/7474/10413",13
"GO:0014909","GO:0014909","smooth muscle cell migration","10/445","97/18614",0.000108408542894574,0.00211288250101525,0.00166036242012216,"8840/4921/3690/1902/4035/55742/5159/5592/5054/7168",10
"GO:0034109","GO:0034109","homotypic cell-cell adhesion","10/445","97/18614",0.000108408542894574,0.00211288250101525,0.00166036242012216,"4267/1311/11117/3690/4627/10398/5156/10630/5592/7499",10
"GO:0035265","GO:0035265","organ growth","14/445","180/18614",0.000112739175939735,0.00218453498942785,0.00171666895823366,"54796/1311/4921/2121/4322/5159/5999/861/6910/26011/7472/55841/10413/23414",14
"GO:0060973","GO:0060973","cell migration involved in heart development","5/445","21/18614",0.000113205763946749,0.00218453498942785,0.00171666895823366,"1909/9464/5159/6910/7291",5
"GO:0001763","GO:0001763","morphogenesis of a branching structure","15/445","203/18614",0.000115377498959266,0.00221547532484344,0.00174098274291658,"170690/1282/1909/57471/2246/26585/4323/6299/6423/23213/25789/7421/7472/7474/10413",15
"GO:0035904","GO:0035904","aorta development","8/445","63/18614",0.000122647622650648,0.00234353153476581,0.00184161290976979,"11174/1281/1909/30008/4015/4016/4035/5159",8
"GO:0048736","GO:0048736","appendage development","14/445","182/18614",0.000126778691895,0.00239894825731412,0.00188516092700281,"1281/1311/10979/26585/9464/5396/8434/860/6299/57167/6423/6910/7291/7474",14
"GO:0060173","GO:0060173","limb development","14/445","182/18614",0.000126778691895,0.00239894825731412,0.00188516092700281,"1281/1311/10979/26585/9464/5396/8434/860/6299/57167/6423/6910/7291/7474",14
"GO:0031346","GO:0031346","positive regulation of cell projection organization","21/445","353/18614",0.000128143119132725,0.0024130525525573,0.00189624447839425,"1272/6387/4921/1809/8507/2150/9638/2335/4747/257194/64175/163404/10154/5587/5789/4920/5176/11075/55714/7043/7474",21
"GO:0030278","GO:0030278","regulation of ossification","11/445","119/18614",0.000133842158222665,0.0025082535228459,0.00197105607504025,"3491/1311/4921/26585/5020/860/4092/338773/7291/7421/7474",11
"GO:0030326","GO:0030326","embryonic limb morphogenesis","11/445","120/18614",0.000144242995134299,0.00265216601430895,0.00208414655333074,"26585/9464/5396/8434/860/6299/57167/6423/6910/7291/7474",11
"GO:0035113","GO:0035113","embryonic appendage morphogenesis","11/445","120/18614",0.000144242995134299,0.00265216601430895,0.00208414655333074,"26585/9464/5396/8434/860/6299/57167/6423/6910/7291/7474",11
"GO:0043200","GO:0043200","response to amino acid","11/445","120/18614",0.000144242995134299,0.00265216601430895,0.00208414655333074,"1490/1307/1277/1278/1281/1282/1290/1291/4313/5156/6935",11
"GO:0071774","GO:0071774","response to fibroblast growth factor","11/445","120/18614",0.000144242995134299,0.00265216601430895,0.00208414655333074,"1490/1277/2246/8823/8817/860/387914/23213/55959/7474/677",11
"GO:0014068","GO:0014068","positive regulation of phosphatidylinositol 3-kinase signaling","9/445","83/18614",0.000161672662856273,0.00295868563292841,0.00232501827977145,"1634/4921/2150/2335/5156/5159/79899/4920/219699",9
"GO:0050921","GO:0050921","positive regulation of chemotaxis","12/445","143/18614",0.000169349071654619,0.00308468542668086,0.00242403245703365,"1012/6387/2150/8823/8817/2621/1902/5159/5587/5919/5054/7474",12
"GO:0050878","GO:0050878","regulation of body fluid levels","21/445","361/18614",0.000174572743119238,0.00316504443106414,0.00248718081996074,"558/1281/1311/9162/11117/2162/2150/2191/2192/2621/2702/3690/4627/10398/5020/5156/10630/5592/6343/5054/7421",21
"GO:0003015","GO:0003015","heart process","17/445","259/18614",0.000175939594717329,0.00317505805651921,0.00249504980812587,"100506013/1490/10699/1909/2702/84525/4634/50507/5020/5350/5999/6444/4092/9096/6910/7168/10413",17
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","14/445","188/18614",0.000178365207308585,0.00318773862695965,0.00250501455657492,"170690/1282/1909/2246/26585/4323/6299/6423/23213/25789/7421/7472/7474/10413",14
"GO:0048144","GO:0048144","fibroblast proliferation","10/445","103/18614",0.000179095628348939,0.00318773862695965,0.00250501455657492,"57124/1281/4921/2335/2621/3690/5156/5159/7472/7474",10
"GO:0150115","GO:0150115","cell-substrate junction organization","10/445","103/18614",0.000179095628348939,0.00318773862695965,0.00250501455657492,"84962/1009/1307/10979/2335/26585/3678/3690/4323/7070",10
"GO:0033687","GO:0033687","osteoblast proliferation","6/445","36/18614",0.0001912967279769,0.00338943020751798,0.00266350946608985,"3491/115908/26585/3690/4330/338773",6
"GO:0033690","GO:0033690","positive regulation of osteoblast proliferation","4/445","13/18614",0.000194123732362524,0.00342395614818606,0.00269064092009976,"3491/115908/3690/338773",4
"GO:0035107","GO:0035107","appendage morphogenesis","12/445","146/18614",0.000205803462951883,0.00359740761697956,0.00282694395652575,"1281/26585/9464/5396/8434/860/6299/57167/6423/6910/7291/7474",12
"GO:0035108","GO:0035108","limb morphogenesis","12/445","146/18614",0.000205803462951883,0.00359740761697956,0.00282694395652575,"1281/26585/9464/5396/8434/860/6299/57167/6423/6910/7291/7474",12
"GO:0008543","GO:0008543","fibroblast growth factor receptor signaling pathway","9/445","86/18614",0.000212380237407689,0.00369579538131772,0.00290425982545288,"1490/2246/8823/8817/860/387914/23213/55959/7474",9
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","12/445","147/18614",0.00021935353801468,0.00380017818302766,0.00298628676314722,"4267/6387/2150/2621/3554/3690/4323/5919/5054/7070/7474/7499",12
"GO:0044319","GO:0044319","wound healing, spreading of cells","6/445","37/18614",0.000223761530688541,0.00384238963270455,0.00301945770602204,"84962/3491/1289/10979/3678/10630",6
"GO:0090505","GO:0090505","epiboly involved in wound healing","6/445","37/18614",0.000223761530688541,0.00384238963270455,0.00301945770602204,"84962/3491/1289/10979/3678/10630",6
"GO:0060324","GO:0060324","face development","7/445","52/18614",0.000224887864891561,0.003844793409418,0.00302134666128551,"1277/83716/1909/4313/5156/7043/7474",7
